user,date,channel,ts,text,thread_ts,reply_count,reaction_name,reaction_count
atirek,2026-03-02,#project-assignments,1772420040.350586,"Confirming hrishabh on Entain - CRM, effective 2026-03-02",,0,,0
devangi,2026-03-02,#project-assignments,1772431140.251771,FYI — jay is double-booked on Entain - CRM and Peak XV - Sprout Stream this week,,0,,0
atirek,2026-03-02,#project-assignments,1772442000.151670,Moving sahil to Entain - CRM from next week,1772442000.151670,4,,0
anand,2026-03-02,#project-assignments,1772444700.536950,pranjal transitioning from Entain - CRM to Team Beach,,0,,0
anand,2026-03-02,#project-assignments,1772450340.896633,Can we get tushar.mahajan on Entain - CRM? Client needs more bandwidth,,0,,0
anand,2026-03-02,#project-assignments,1772430300.254336,"We need someone on Entain - CRM, thinking neel.chavan",,0,rocket,4
anand,2026-03-02,#project-assignments,1772451420.888698,rajat.tomar is now full-time on Entain - CRM,,0,100,3
anand,2026-03-02,#project-assignments,1772452380.717325,"We need someone on Entain - CRM, thinking arihant.hirawat",,0,,0
devangi,2026-03-02,#project-assignments,1772430000.960578,Staffing update: prathamesh allocated to Entain - Java Upgrade from 2026-03-02,,0,,0
atirek,2026-03-02,#project-assignments,1772436060.286151,Staffing update: onkar.date allocated to Entain - Java Upgrade from 2026-03-02,1772436060.286151,3,,0
anand,2026-03-02,#project-assignments,1772420940.867652,Staffing update: mayank.dhanwade allocated to Provus from 2026-03-02,1772420940.867652,1,,0
atirek,2026-03-02,#project-assignments,1772425620.344229,navsheel.biral is joining Provus starting 2026-03-02,,0,rocket,3
devangi,2026-03-02,#project-assignments,1772431980.896938,chaitrali is now full-time on Provus,1772431980.896938,3,,0
anand,2026-03-02,#project-assignments,1772437020.807950,FYI — allay is double-booked on Provus and Entain - Java Upgrade this week,,0,raised_hands,1
anand,2026-03-02,#project-assignments,1772429280.618763,FYI — pranay is double-booked on Provus and Universal Ether this week,,0,,0
anand,2026-03-02,#project-assignments,1772429580.545280,Moving riyaz.kagzi to CRED from next week,,0,,0
anand,2026-03-02,#project-assignments,1772436240.430972,manish.lath transitioning from CRED to Shippit - Shipping Squad,1772436240.430972,4,,0
devangi,2026-03-02,#project-assignments,1772424300.606971,"Confirming gaurav.shewale on CRED, effective 2026-03-02",,0,,0
anand,2026-03-02,#project-assignments,1772437620.669110,"We need someone on Shippit - Shipping Squad, thinking rishabh.a",,0,rocket,4
devangi,2026-03-02,#project-assignments,1772441400.911117,nayab transitioning from Shippit - Rate Card to Peak XV - Migration Admin Apps,1772441400.911117,3,,0
anand,2026-03-02,#project-assignments,1772446680.663438,FYI — gaurav is double-booked on Shippit - Rate Card and Entain - CRM this week,,0,,0
devangi,2026-03-02,#project-assignments,1772437860.880806,"Confirming sagar.yadav on Economist - Ads, effective 2026-03-02",1772437860.880806,5,,0
deepak,2026-03-09,#leave-updates,1773031440.469283,FYI deepak on personal leave 2026-03-09,,0,,0
devangi,2026-03-10,#leave-updates,1773137040.989870,deepak will be on leave 2026-03-10,,0,,0
sankalp,2026-03-24,#leave-updates,1774327320.982589,sankalp is out sick today,1774327320.982589,1,pray,2
sidharth,2026-03-27,#leave-updates,1774596120.882526,"sidharth OOO 2026-03-27, back on 2026-03-28",,0,,0
deepak,2026-03-02,#ai-workshops,1772443380.161724,Merged the feature branch into develop,,0,rocket,3
deepak,2026-03-04,#ai-workshops,1772610000.378612,Design mockups are ready for review,,0,,0
deepak,2026-03-04,#ai-workshops,1772612940.956981,Running into a weird bug with the date parser,,0,,0
deepak,2026-03-04,#ai-workshops,1772609100.767552,Pair programming session at 3pm anyone?,,0,100,4
deepak,2026-03-04,#ai-workshops,1772600700.978264,"Finished the migration script, testing locally",,0,,0
deepak,2026-03-05,#ai-workshops,1772690640.567664,Let's sync on the deployment pipeline,1772690640.567664,3,white_check_mark,4
deepak,2026-03-05,#ai-workshops,1772693280.957701,Let's sync on the deployment pipeline,,0,,0
deepak,2026-03-05,#ai-workshops,1772704560.486566,Updated the README with setup instructions,,0,,0
deepak,2026-03-05,#ai-workshops,1772691240.862584,Pair programming session at 3pm anyone?,,0,,0
deepak,2026-03-05,#ai-workshops,1772712960.202995,,,0,pray,2
deepak,2026-03-05,#ai-workshops,1772701800.809507,Fixed the CORS issue on the API gateway,,0,,0
deepak,2026-03-06,#ai-workshops,1772780580.541249,PR is up for review,1772780580.541249,2,,0
deepak,2026-03-06,#ai-workshops,1772791080.346609,"Updated the test suite, all green now",,0,pray,4
deepak,2026-03-06,#ai-workshops,1772780040.793659,EOD update: completed development tasks,1772780040.793659,5,,0
deepak,2026-03-06,#ai-workshops,1772780280.303493,Fixed the CORS issue on the API gateway,,0,100,3
deepak,2026-03-06,#ai-workshops,1772792880.802896,"Pushed the fix to staging, can someone verify?",,0,pray,3
deepak,2026-03-11,#ai-workshops,1773222300.490942,Design mockups are ready for review,,0,,0
deepak,2026-03-11,#ai-workshops,1773232680.724326,"Pushed the fix to staging, can someone verify?",,0,,0
deepak,2026-03-12,#ai-workshops,1773295080.975471,PR is up for review,1773295080.975471,3,,0
deepak,2026-03-12,#ai-workshops,1773311100.565193,Anyone seen this error before? Getting a 502 on staging,,0,,0
deepak,2026-03-12,#ai-workshops,1773302940.310170,PR is up for review,,0,,0
deepak,2026-03-13,#ai-workshops,1773396780.511536,Design mockups are ready for review,,0,,0
deepak,2026-03-13,#ai-workshops,1773377880.739748,Standup update: working on meeting today,,0,,0
deepak,2026-03-13,#ai-workshops,1773393540.217973,Design mockups are ready for review,,0,,0
deepak,2026-03-13,#ai-workshops,1773399240.564508,"Refactored the middleware layer, much cleaner now",,0,100,3
deepak,2026-03-16,#ai-workshops,1773652260.885938,"Blocked on the API response format, need input",,0,,0
deepak,2026-03-16,#ai-workshops,1773645660.459106,"Pushed the fix to staging, can someone verify?",1773645660.459106,1,100,1
deepak,2026-03-16,#ai-workshops,1773639120.838432,Anyone seen this error before? Getting a 502 on staging,,0,,0
deepak,2026-03-16,#ai-workshops,1773633240.378553,Deployed to production,,0,,0
deepak,2026-03-16,#general,1773655200.707598,"Taking a short break, back in 30",,0,,0
deepak,2026-03-17,#ai-workshops,1773733500.687514,"Pushed the fix to staging, can someone verify?",,0,,0
deepak,2026-03-17,#general,1773742560.470190,Had to work Saturday to fix the prod issue on AI Workshops,,0,100,1
deepak,2026-03-18,#ai-workshops,1773824280.872677,Fixed the CORS issue on the API gateway,,0,,0
deepak,2026-03-18,#ai-workshops,1773816360.746410,Fixed the CORS issue on the API gateway,,0,,0
deepak,2026-03-18,#general,1773824640.984975,Staying late tonight to wrap up AI Workshops deliverable,1773824640.984975,5,,0
deepak,2026-03-20,#ai-workshops,1773991140.358841,Standup update: working on meeting today,,0,,0
deepak,2026-03-20,#ai-workshops,1773988020.417771,Running into a weird bug with the date parser,,0,,0
deepak,2026-03-20,#ai-workshops,1773984420.786819,Merged the feature branch into develop,,0,,0
deepak,2026-03-23,#ai-workshops,1774255200.684551,Merged the feature branch into develop,,0,,0
deepak,2026-03-23,#ai-workshops,1774243980.153756,"Updated the test suite, all green now",,0,,0
deepak,2026-03-23,#ai-workshops,1774266060.625250,Merged the feature branch into develop,,0,rocket,3
deepak,2026-03-23,#ai-workshops,1774249320.183483,"Refactored the middleware layer, much cleaner now",1774249320.183483,3,,0
deepak,2026-03-23,#ai-workshops,1774264740.242877,,,0,,0
deepak,2026-03-23,#ai-workshops,1774257420.723640,"Pushed the fix to staging, can someone verify?",,0,,0
deepak,2026-03-23,#general,1774240200.956611,Worked over the weekend to hit the AI Workshops deadline,,0,rocket,3
deepak,2026-03-24,#general,1774326600.164833,"Taking a short break, back in 30",,0,,0
deepak,2026-03-24,#general,1774336140.137871,"taking tomorrow off, will be back day after",,0,,0
deepak,2026-03-25,#ai-workshops,1774425000.861550,Quick question about the auth flow,,0,,0
deepak,2026-03-25,#ai-workshops,1774438620.184844,"Finished the migration script, testing locally",,0,,0
deepak,2026-03-25,#general,1774423440.556717,Putting in extra hours on AI Workshops this week,,0,pray,1
deepak,2026-03-26,#ai-workshops,1774508040.216126,Let's sync on the deployment pipeline,,0,,0
deepak,2026-03-26,#ai-workshops,1774503300.810602,Quick question about the auth flow,1774503300.810602,4,eyes,1
deepak,2026-03-26,#ai-workshops,1774510320.407971,EOD update: completed meeting tasks,1774510320.407971,2,,0
deepak,2026-03-27,#ai-workshops,1774585560.630256,Deployed to production,,0,rocket,3
deepak,2026-03-27,#ai-workshops,1774590660.740410,Quick question about the auth flow,,0,white_check_mark,2
deepak,2026-03-27,#ai-workshops,1774612920.677142,EOD update: completed testing tasks,,0,thumbsup,3
deepak,2026-03-27,#ai-workshops,1774607760.742658,Pair programming session at 3pm anyone?,1774607760.742658,4,,0
deepak,2026-03-27,#ai-workshops,1774593000.595575,Design mockups are ready for review,1774593000.595575,3,,0
deepak,2026-03-28,#general,1774683660.461149,Fixing a critical bug on AI Workshops this morning,1774683660.461149,4,,0
deepak,2026-03-30,#ai-workshops,1774869840.512474,"Refactored the middleware layer, much cleaner now",1774869840.512474,3,rocket,1
deepak,2026-03-30,#ai-workshops,1774863660.796725,Let's sync on the deployment pipeline,1774863660.796725,3,,0
deepak,2026-03-30,#ai-workshops,1774844520.146139,Deployed to production,1774844520.146139,4,,0
deepak,2026-03-30,#general,1774854060.731857,Thanks prachi for the extra effort on AI Workshops over the weekend,,0,,0
sankalp,2026-03-02,#general,1772447760.821600,Putting in extra hours on AI Workshops this week,,0,,0
sankalp,2026-03-04,#ai-workshops,1772618280.583202,Fixed the CORS issue on the API gateway,,0,white_check_mark,4
sankalp,2026-03-04,#ai-workshops,1772604960.761160,Fixed the CORS issue on the API gateway,,0,rocket,1
sankalp,2026-03-04,#ai-workshops,1772606760.906607,"Refactored the middleware layer, much cleaner now",1772606760.906607,3,,0
sankalp,2026-03-04,#ai-workshops,1772605200.391565,"Pushed the fix to staging, can someone verify?",,0,,0
sankalp,2026-03-04,#ai-workshops,1772597640.848569,,,0,,0
sankalp,2026-03-04,#ai-workshops,1772610780.976754,Merged the feature branch into develop,,0,,0
sankalp,2026-03-04,#general,1772624940.354106,"Backlog grooming at 2pm, please join",1772624940.354106,3,,0
sankalp,2026-03-05,#ai-workshops,1772700780.921780,"Refactored the middleware layer, much cleaner now",,0,,0
sankalp,2026-03-06,#ai-workshops,1772786820.159672,PR is up for review,,0,,0
sankalp,2026-03-06,#ai-workshops,1772773020.533452,Quick question about the auth flow,,0,,0
sankalp,2026-03-06,#ai-workshops,1772771280.884756,"Finished the migration script, testing locally",,0,,0
sankalp,2026-03-09,#ai-workshops,1773042000.134557,,,0,,0
sankalp,2026-03-09,#ai-workshops,1773052800.894157,Anyone seen this error before? Getting a 502 on staging,1773052800.894157,5,,0
sankalp,2026-03-09,#ai-workshops,1773037140.997246,Pair programming session at 3pm anyone?,,0,,0
sankalp,2026-03-09,#ai-workshops,1773039420.741795,PR is up for review,,0,,0
sankalp,2026-03-09,#ai-workshops,1773036720.485288,Let's sync on the deployment pipeline,,0,,0
sankalp,2026-03-09,#ai-workshops,1773044940.670642,Deployed to production,1773044940.670642,1,,0
sankalp,2026-03-10,#ai-workshops,1773129120.646764,Anyone seen this error before? Getting a 502 on staging,,0,,0
sankalp,2026-03-11,#ai-workshops,1773221280.571272,Quick question about the auth flow,,0,,0
sankalp,2026-03-11,#ai-workshops,1773199200.959967,,1773199200.959967,1,,0
sankalp,2026-03-11,#ai-workshops,1773204180.323617,Deployed to production,,0,pray,1
sankalp,2026-03-11,#ai-workshops,1773220320.381648,Updated the README with setup instructions,,0,100,2
sankalp,2026-03-11,#ai-workshops,1773214680.358934,"Blocked on the API response format, need input",,0,,0
sankalp,2026-03-12,#general,1773313440.940829,"Working from home today, reachable on Slack",,0,,0
sankalp,2026-03-13,#ai-workshops,1773381420.464666,Running into a weird bug with the date parser,,0,,0
sankalp,2026-03-13,#ai-workshops,1773373920.184374,Standup update: working on testing today,1773373920.184374,4,,0
sankalp,2026-03-13,#ai-workshops,1773385320.879376,"Client demo went well, few follow-ups noted",1773385320.879376,5,100,4
sankalp,2026-03-13,#ai-workshops,1773389640.903432,"Pushed the fix to staging, can someone verify?",,0,100,1
sankalp,2026-03-16,#ai-workshops,1773639900.961735,Design mockups are ready for review,,0,,0
sankalp,2026-03-16,#ai-workshops,1773655380.305590,Fixed the CORS issue on the API gateway,,0,,0
sankalp,2026-03-16,#ai-workshops,1773640920.387936,Fixed the CORS issue on the API gateway,,0,,0
sankalp,2026-03-16,#ai-workshops,1773657780.572825,Pair programming session at 3pm anyone?,1773657780.572825,1,,0
sankalp,2026-03-16,#ai-workshops,1773640440.774257,EOD update: completed code review tasks,,0,,0
sankalp,2026-03-17,#ai-workshops,1773745200.612254,Design mockups are ready for review,,0,eyes,1
sankalp,2026-03-17,#ai-workshops,1773727500.633594,Deployed to production,,0,pray,3
sankalp,2026-03-17,#ai-workshops,1773742920.919268,"Blocked on the API response format, need input",,0,,0
sankalp,2026-03-18,#ai-workshops,1773820080.433301,Pair programming session at 3pm anyone?,,0,,0
sankalp,2026-03-18,#ai-workshops,1773819300.460965,"The build is passing now, was a flaky test",,0,raised_hands,1
sankalp,2026-03-23,#ai-workshops,1774261140.568679,PR is up for review,,0,,0
sankalp,2026-03-23,#ai-workshops,1774254540.655942,Pair programming session at 3pm anyone?,,0,,0
sankalp,2026-03-23,#ai-workshops,1774250640.404995,"Refactored the middleware layer, much cleaner now",,0,,0
sankalp,2026-03-23,#ai-workshops,1774258680.855702,Design mockups are ready for review,,0,,0
sankalp,2026-03-23,#ai-workshops,1774242420.924160,"Updated the test suite, all green now",,0,,0
sankalp,2026-03-23,#general,1774264440.934197,Sent the invoice to the client,1774264440.934197,1,,0
sankalp,2026-03-25,#ai-workshops,1774420320.948390,Heads up — CI pipeline is broken on main,,0,,0
sankalp,2026-03-25,#ai-workshops,1774425360.902956,Running into a weird bug with the date parser,,0,white_check_mark,1
sankalp,2026-03-26,#ai-workshops,1774515420.246170,Deployed to production,,0,white_check_mark,2
sankalp,2026-03-26,#ai-workshops,1774520040.202243,"Refactored the middleware layer, much cleaner now",,0,,0
sankalp,2026-03-26,#ai-workshops,1774507320.666715,Running into a weird bug with the date parser,,0,,0
sankalp,2026-03-26,#ai-workshops,1774507080.865501,EOD update: completed meeting tasks,1774507080.865501,1,rocket,2
sankalp,2026-03-26,#ai-workshops,1774522260.424235,Fixed the CORS issue on the API gateway,,0,,0
sankalp,2026-03-26,#ai-workshops,1774497780.161908,"Finihed the migration script, testing locally",,0,,0
sankalp,2026-03-27,#ai-workshops,1774614060.838365,Deployed to prouduction,1774614060.838365,1,raised_hands,1
sankalp,2026-03-27,#ai-workshops,1774602600.742178,"Refactored the middleware layer, much cleaner now",,0,,0
sankalp,2026-03-27,#ai-workshops,1774599600.790840,,1774599600.790840,1,,0
sankalp,2026-03-27,#general,1774608480.136666,Staying late tonight to wrap up AI Workshops deliverable,,0,,0
sankalp,2026-03-30,#ai-workshops,1774851060.677903,Standup update: working on testing today,,0,,0
sankalp,2026-03-30,#ai-workshops,1774838520.519124,Heads up — CI pipeline is broken on main,1774838520.519124,1,,0
sankalp,2026-03-30,#ai-workshops,1774857180.206310,"Pushed the fix to staging, can someone verify?",,0,,0
sankalp,2026-03-30,#ai-workshops,1774848360.965632,Deployed to production,,0,,0
sankalp,2026-03-30,#ai-workshops,1774860180.176706,Pair programming session at 3pm anyone?,,0,,0
sankalp,2026-03-30,#general,1774855920.563378,Putting in extra hours on AI Workshops this week,1774855920.563378,5,,0
sankalp,2026-03-31,#ai-workshops,1774940520.939278,"Client demo went well, few follow-ups noted",1774940520.939278,5,,0
sankalp,2026-03-31,#ai-workshops,1774924980.163950,"Blocked on the API response format, need input",,0,,0
sankalp,2026-03-31,#ai-workshops,1774949580.700365,"Client demo went well, few follow-ups noted",,0,eyes,4
sankalp,2026-03-31,#ai-workshops,1774933140.687543,,,0,,0
sumit,2026-03-02,#ai-workshops,1772447100.467591,Fixed the CORS issue on the API gateway,,0,,0
sumit,2026-03-02,#ai-workshops,1772431200.130930,Anyone seen this error before? Getting a 502 on staging,,0,pray,2
sumit,2026-03-04,#ai-workshops,1772595840.251700,Running into a weird bug with the date parser,,0,eyes,3
sumit,2026-03-04,#ai-workshops,1772600280.444409,"Client demo went well, few follow-ups noted",,0,,0
sumit,2026-03-05,#ai-workshops,1772707380.190941,"Reviewed the PR, left a few comments",,0,,0
sumit,2026-03-05,#ai-workshops,1772695980.362905,"Pushed the fix to staging, can someone verify?",1772695980.362905,4,100,2
sumit,2026-03-05,#ai-workshops,1772707200.590907,"Finished the migration script, testing locally",,0,,0
sumit,2026-03-05,#ai-workshops,1772679480.426367,Design mockups are ready for review,,0,white_check_mark,2
sumit,2026-03-05,#ai-workshops,1772703240.821131,Updated the README with setup instructions,,0,,0
sumit,2026-03-05,#general,1772710920.653371,heads up — I'll be out on 2026-03-06,,0,,0
sumit,2026-03-06,#ai-workshops,1772778480.479490,EOD update: completed meeting tasks,,0,,0
sumit,2026-03-06,#ai-workshops,1772776200.870813,Quick question about the auth flow,,0,fire,4
sumit,2026-03-06,#ai-workshops,1772789400.803987,Updated the README with setup instructions,,0,,0
sumit,2026-03-06,#general,1772791980.793735,Weekend deploy went smooth for AI Workshops,1772791980.793735,2,,0
sumit,2026-03-09,#ai-workshops,1773039720.770597,Merged the feature branch into develop,,0,,0
sumit,2026-03-09,#ai-workshops,1773033240.505439,Deployed to production,,0,pray,3
sumit,2026-03-09,#ai-workshops,1773051600.801200,Running into a weird bug with the date parser,,0,,0
sumit,2026-03-09,#ai-workshops,1773035760.292552,Running into a weird bug with the date parser,1773035760.292552,5,,0
sumit,2026-03-09,#ai-workshops,1773046320.618513,PR is up for review,1773046320.618513,1,,0
sumit,2026-03-09,#ai-workshops,1773037500.151469,Heads up — CI pipeline is broken on main,,0,,0
sumit,2026-03-10,#ai-workshops,1773137880.758381,"Reviewed the PR, left a few comments",,0,,0
sumit,2026-03-10,#ai-workshops,1773139260.506698,Heads up — CI pipeline is broken on main,1773139260.506698,3,,0
sumit,2026-03-10,#ai-workshops,1773119520.755432,Merged the feature branch into develop,,0,,0
sumit,2026-03-10,#ai-workshops,1773114960.924977,Heads up — CI pipeline is broken on main,,0,,0
sumit,2026-03-10,#ai-workshops,1773142200.528514,"Pushed the fix to staging, can someone verify?",,0,rocket,2
sumit,2026-03-10,#ai-workshops,1773133140.997671,EOD update: completed meeting tasks,1773133140.997671,5,white_check_mark,2
sumit,2026-03-11,#ai-workshops,1773210000.983832,Running into a weird bug with the date parser,1773210000.983832,2,fire,3
sumit,2026-03-11,#ai-workshops,1773221820.262601,"Pushed the fix to staging, can someone verify?",,0,,0
sumit,2026-03-12,#ai-workshops,1773294180.475828,Heads up — CI pipeline is broken on main,,0,raised_hands,1
sumit,2026-03-12,#ai-workshops,1773303960.218526,EOD update: completed development tasks,,0,raised_hands,2
sumit,2026-03-12,#general,1773301080.376737,"Backlog grooming at 2pm, please join",,0,eyes,1
sumit,2026-03-13,#ai-workshops,1773379500.971876,"Client demo went well, few follow-ups noted",,0,white_check_mark,2
sumit,2026-03-13,#ai-workshops,1773398460.195481,"Client demo went well, few follow-ups noted",,0,100,4
sumit,2026-03-13,#ai-workshops,1773402240.916270,Anyone seen this error before? Getting a 502 on staging,1773402240.916270,2,,0
sumit,2026-03-13,#general,1773391980.488897,Sprint retro notes are in Confluence,,0,white_check_mark,4
sumit,2026-03-16,#ai-workshops,1773642600.554920,Updated the README with setup instructions,,0,pray,1
sumit,2026-03-16,#ai-workshops,1773649020.662100,Fixed the CORS issue on the API gateway,,0,,0
sumit,2026-03-16,#ai-workshops,1773647580.472945,Let's sync on the deployment pipeline,1773647580.472945,5,,0
sumit,2026-03-16,#ai-workshops,1773651840.774327,EOD update: completed meeting tasks,1773651840.774327,3,,0
sumit,2026-03-17,#ai-workshops,1773737340.899281,Updated the README with setup instructions,,0,white_check_mark,3
sumit,2026-03-17,#ai-workshops,1773727800.451401,"Refactored the middleware layer, much cleaner now",,0,100,3
sumit,2026-03-17,#ai-workshops,1773738840.397803,Updated the README with setup instructions,,0,,0
sumit,2026-03-18,#ai-workshops,1773823860.988791,Heads up — CI pipeline is broken on main,,0,,0
sumit,2026-03-18,#ai-workshops,1773830520.780148,"Reviewed the PR, left a few comments",,0,,0
sumit,2026-03-18,#ai-workshops,1773835440.981991,Updated the READE with setup instructions,,0,,0
sumit,2026-03-18,#ai-workshops,1773826200.298401,Pair programming session at 3pm anyone?,,0,,0
sumit,2026-03-20,#ai-workshops,1773981900.318779,"Refactored the middleware layer, much cleaner now",,0,,0
sumit,2026-03-20,#ai-workshops,1774011540.736349,Updated the README witeh setup instructions,,0,,0
sumit,2026-03-20,#ai-workshops,1774005420.629941,Anyone seen this error before? Getting a 502 on staging,,0,,0
sumit,2026-03-20,#ai-workshops,1773990780.184198,PR is up for review,1773990780.184198,1,,0
sumit,2026-03-20,#ai-workshops,1773998100.534955,Heads up — CI pipeline is broken on main,1773998100.534955,4,,0
sumit,2026-03-23,#ai-workshops,1774257540.548490,Merged the feature branch into develop,,0,,0
sumit,2026-03-23,#ai-workshops,1774260720.247405,Deployed to production,,0,,0
sumit,2026-03-23,#ai-workshops,1774234680.105686,"Pushed the fix to staging, can someone verify?",,0,,0
sumit,2026-03-23,#ai-workshops,1774248000.522761,Heads up — CI pipeline is broken on main,,0,white_check_mark,3
sumit,2026-03-23,#ai-workshops,1774245060.971869,"Blocked on the API response format, need input",,0,,0
sumit,2026-03-23,#ai-workshops,1774255980.694598,Merged the feature branch into develop,,0,,0
sumit,2026-03-23,#ai-workshops,1774249080.561436,"Blocked on the API response format, need input",,0,,0
sumit,2026-03-23,#ai-workshops,1774261620.326829,Running into a weird bug with the date parser,,0,,0
sumit,2026-03-23,#general,1774248900.598664,Sent the invoice to the client,1774248900.598664,3,,0
sumit,2026-03-24,#general,1774329240.968925,Thanks santosh.mudavat for the extra effort on AI Workshops over the weekend,,0,,0
sumit,2026-03-25,#ai-workshops,1774443000.955179,Anyone seen this error before? Getting a 502 on staging,,0,,0
sumit,2026-03-25,#ai-workshops,1774431300.106613,"Client demo went well, few follow-ups noted",,0,,0
sumit,2026-03-25,#ai-workshops,1774433700.936221,Heads up — CI pipeline is broken on main,,0,,0
sumit,2026-03-25,#general,1774433820.520122,"Backlog grooming at 2pm, please join",1774433820.520122,5,white_check_mark,1
sumit,2026-03-26,#ai-workshops,1774501260.211116,"The build is passing now, was a flaky test",1774501260.211116,4,,0
sumit,2026-03-26,#ai-workshops,1774502820.998902,"The build is passing now, was a flaky test",,0,,0
sumit,2026-03-26,#ai-workshops,1774515060.634530,"The build is passing now, was a flaky test",,0,100,4
